MGI.symbol	source	source_group
Trpc7	Hollis2020_GWAS_VB_FH	puberty_GWAS
Trpm3	Day2017_nearest	puberty_GWAS
Ttc26	Day2017_nearest	puberty_GWAS
Tyrp1	Day2017_nearest	puberty_GWAS
Tyw3	Perry2014	puberty_GWAS
Uba7	Perry2014	puberty_GWAS
Unc13c	Day2017_nearest	puberty_GWAS
Unc5d	Day2017_nearest	puberty_GWAS
Unc79	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Usp34	Day2017_nearest	puberty_GWAS
Usp48	Hauser2019_PA	pituitary_disease
Usp8	Hauser2019_PA	pituitary_disease
Vdr	Perry2014	puberty_GWAS
Vegfc	Day2017_nearest	puberty_GWAS
Vgll3	Perry2014;Day2017_nearest	puberty_GWAS
Wdr11	IHH/Kallmann;Fang2016_CPHD	puberty_disease;pituitary_disease
Wdr25	Perry2014;Day2017_nearest	puberty_GWAS
Wdr36	Day2017_nearest	puberty_GWAS
Wdr6	Perry2014	puberty_GWAS
Wscd1	Perry2014;Day2017_nearest	puberty_GWAS
Wscd2	Day2017_nearest	puberty_GWAS
Wwp1	Day2017_nearest	puberty_GWAS
Wwp2	Perry2014	puberty_GWAS
Xlr5a	Day2017_nearest	puberty_GWAS
Xlr5b	Day2017_nearest	puberty_GWAS
Xlr5c	Day2017_nearest	puberty_GWAS
Ywhab	Day2017_nearest	puberty_GWAS
Zbtb16	Day2017_nearest	puberty_GWAS
Zbtb20	Day2017_nearest	puberty_GWAS
Zc3h4	Day2017_nearest	puberty_GWAS
Zc3hc1	Day2017_nearest	puberty_GWAS
Zfhx3	Day2017_nearest	puberty_GWAS
Zfhx4	Day2017_nearest	puberty_GWAS
Zfp131	Perry2014;Day2017_nearest	puberty_GWAS
Zfp324	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Zfp462	Day2017_nearest	puberty_GWAS
Zfp518a	Day2017_nearest	puberty_GWAS
Zfp536	Day2017_nearest;Hollis2020_GWAS_VB_FH	puberty_GWAS
Zfp654	Perry2014	puberty_GWAS
Zkscan16	Perry2014;Hollis2020_GWAS_VB_FH	puberty_GWAS
Zmat1	Day2017_nearest	puberty_GWAS
Zswim6	Fang2016_CPHD	pituitary_disease
Zxdb	Day2017_nearest	puberty_GWAS
